DESC_PROVEEDOR,LLAVE_PRODUCTO,COD_PRODUCTO,DESCRIPCION_PRODUCTO,GRUPO,DIVISION,LINEA,SUBLINEA,CATEGORIA,SUBCATEGORIA,FAMILIA,FECHA_CREACION,FECHA_MODIFICACION,DW_HASH,ID_GRUPO,ID_DIVISION,ID_LINEA,ID_SUBLINEA,ID_CATEGORIA,ID_SUBCATEGORIA,ID_FAMILIA,ID_PROVEEDOR,PRODUCTO_CORBETA
ALIMENTOS NUTRION SA,22,22,22,22,22,22,22,22,0,0,22,22,22,22,22,22,22,22,0,0,22,22
ALIMENTOS POLAR COLOMBIA,18,18,18,18,18,18,18,18,0,0,14,15,18,18,18,18,18,18,0,0,14,18
ALIMENTOS POLAR COLOMBIA S.A.S.,86,86,86,86,86,86,86,86,0,0,63,86,86,86,86,86,86,86,0,0,86,86
ALIMENTOS PROC. MARINOS APROMAR LTDA.,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
ALIMENTOS SAS SAS,18,18,18,18,18,18,18,18,0,0,18,18,18,18,18,18,18,18,0,0,18,18
ALIMENTOS TONING S.A,43,43,43,43,43,43,43,43,0,0,43,43,43,43,43,43,43,43,0,0,43,43
ALIVAC SAS,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
ALMACENES EXITO S.A,38,38,38,38,38,38,38,38,0,0,38,38,38,38,38,38,38,38,0,0,38,38
ALMACENES FRENOS EL NORTE S.A.S.,28,28,28,28,28,28,28,28,0,0,28,28,28,28,28,28,28,28,0,0,28,28
ALMIPRO,10,10,10,10,10,10,10,10,0,0,10,0,10,10,10,10,10,10,0,0,10,10
ALOE NATURAL MOUNTAIN SAS,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ALOKOZAY ?FZE,2,2,2,2,2,2,2,2,0,0,2,0,2,2,2,2,2,2,0,0,2,2
ALONSO BETANCOURT HOYOS,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,0,0,8,8
ALONSO EMILIO HENAO GARCIA,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ALPHA GROUP CORP,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ALPHACELL USA INC,12,12,12,12,12,12,12,12,0,0,12,12,12,12,12,12,12,12,0,0,12,12
ALPHEX INDUSTRIAS PLASTICAS Y CIA S EN C,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
ALPINA PRODUCTOS ALIMENTICIOS S.A,511,511,511,511,511,511,511,511,0,0,332,511,511,511,511,511,511,511,0,0,511,511
ALPOPULAR CARGO SAS,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
ALQUERIA,5,5,5,5,5,5,5,5,0,0,1,5,5,5,5,5,5,5,0,0,5,5
ALTIPAL S.A,17,17,17,17,17,17,17,17,0,0,17,17,17,17,17,17,17,17,0,0,17,17
ALTIPAL S.A.S,16,16,16,16,16,16,16,16,0,0,12,8,16,16,16,16,16,16,0,0,16,16
ALVARO JARAMILLO ZULUAGA,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ALVARO NAVARRETE ERASO,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
AM CARGO & COURIER S.A.,22,22,22,22,22,22,22,22,0,0,22,22,22,22,22,22,22,22,0,0,22,22
AMADEUS IT GROUP COLOMBIA S.A.S.,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
AMALFI,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
AMERICAN CARPAS 1 SAS,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
AMERICAN SCAN SERVICES AND SOLUTIONS SAS,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,0,0,8,8
AMERICANA DE HERRAMIENTAS Y AFINES SAS,13,13,13,13,13,13,13,13,0,0,13,13,13,13,13,13,13,13,0,0,13,13
AMERICAS MOTOR EXPORTS PTE. LTD,3478,3478,3478,3478,3478,3478,3478,3478,0,0,3478,3478,3478,3478,3478,3478,3478,3478,0,0,3478,3478
AMPLE POWER LIMITED,18,18,18,18,18,18,18,18,0,0,18,18,18,18,18,18,18,18,0,0,18,18
AMWOOD HONG KONG LTD,30,30,30,30,30,30,30,30,0,0,30,30,30,30,30,30,30,30,0,0,30,30
ANA LUCIA BUCHELI NARVAEZ,6,6,6,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6,0,0,6,6
ANA MARIA,41,41,41,41,41,41,41,41,0,0,40,1,41,41,41,41,41,41,0,0,41,41
ANA MARIA GIRALDO RINCON,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ANA PATRICIA MEJIA GRUESSO,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ANA PATRICIA VASQUEZ COCK,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ANA SOFIA RODRIGUEZ DIAZ,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10
ANA VICTORIA GOMEZ CASTILLO,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ANASAC COLOMBIA LTDA,13,13,13,13,13,13,13,13,0,0,10,6,13,13,13,13,13,13,0,0,7,13
ANDINA DE OCCIDENTE S.A.S.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ANDREA PEREZ OSPINA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ANDRES ANGEL SOCIEDAD POR ACCONES SIMPLI,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ANDRES GONZALEZ URIBE,112,112,112,112,112,112,112,112,0,0,112,112,112,112,112,112,112,112,0,0,112,112
ANDROMACO,5,5,5,5,5,5,5,5,0,0,4,4,5,5,5,5,5,5,0,0,5,5
ANGELA MARIA GRANADOS OSPINA,18,18,18,18,18,18,18,18,0,0,18,18,18,18,18,18,18,18,0,0,18,18
ANHUI ANMEC IMPORT AND EXPORT CORP,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,0,0,8,8
ANHUI HUAHENG LIGHT INDUSTRY CO LTD,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
ANIAN,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
ANJI FUHE FURNITURE CO LTD,15,15,15,15,15,15,15,15,0,0,15,15,15,15,15,15,15,15,0,0,15,15
ANJI WEIYU FURNITURE CO  LTD,42,42,42,42,42,42,42,42,0,0,42,42,42,42,42,42,42,42,0,0,42,42
ANJI YUNSHENG SEATING PRODUCTS FACTORY,12,12,12,12,12,12,12,12,0,0,12,12,12,12,12,12,12,12,0,0,12,12
ANSHAN JINBAO TEXTILE.  LTD,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
APEX  TOOL GROUP SAS,826,826,826,826,826,826,826,826,0,0,826,826,826,826,826,826,826,826,0,0,826,826
APLYCA TECNOLOGIA SAS,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
APPLE COLOMBIA SAS,921,921,921,921,921,921,921,921,0,0,921,921,921,921,921,921,921,921,0,0,921,921
APR Ingenieros Asociados Ltda.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
APTC Colombia Ltda.,30,30,30,30,30,30,30,30,0,0,30,30,30,30,30,30,30,30,0,0,30,30
AQUASOFT SA,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
AR Triple A Corredores de Bolsa S.A.,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ARANTAX GLOBAL GROUP SAS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ARAWAK,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ARCA DISTRIBUCIONES S.A.S.,14,14,14,14,14,14,14,14,0,0,14,1,14,14,14,14,14,14,0,0,14,14
ARISTIDES CARDONA ZAPATA,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,0,0,8,8
ARITEX DE COLOMBIA S.A.,1672,1672,1672,1672,1672,1672,1672,1672,0,0,1672,1672,1672,1672,1672,1672,1672,1672,0,0,1672,1672
ARLO EXPORTS,12,12,12,12,12,12,12,12,0,0,12,9,12,12,12,12,12,12,0,0,12,12
ARMANDO BORRERO FRANCO,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ARMANDO PRIETO CANTOR,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ARNEG ANDINA LIMITADA,31,31,31,31,31,31,31,31,0,0,31,31,31,31,31,31,31,31,0,0,31,31
ARNULFO TORRES ROMERO,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
ARROCERA LA ESMERALDA SAS,7,7,7,7,7,7,7,7,0,0,7,7,7,7,7,7,7,7,0,0,7,7
ARTICULOS DE SEGURIDAD SAS,30,30,30,30,30,30,30,30,0,0,30,30,30,30,30,30,30,30,0,0,30,30
ARVARCAR SAS,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,0,0,4,4
ARVIND LTD,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ASAHI KASEI SPANDEX AMERICA. INC.,23,23,23,23,23,23,23,23,0,0,23,23,23,23,23,23,23,23,0,0,23,23
ASC ELECTRONICA S.A.,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10
ASCENTEX EXIM LLP,6,6,6,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6,0,0,6,6
ASEOTOTAL S.A.,5,5,5,5,5,5,5,5,0,0,5,0,5,5,5,5,5,5,0,0,5,5
ASEPSIS PRODUCTS DE COLOMBIA SAS,25,25,25,25,25,25,25,25,0,0,25,25,25,25,25,25,25,25,0,0,25,25
ASERTIA COMERCIAL S.A.,2,2,2,2,2,2,2,2,0,0,2,1,2,2,2,2,2,2,0,0,1,2
ASG OPERATIONS MEXICO S. DE R.L. DE C.V.,6,6,6,6,6,6,6,6,0,0,6,6,6,6,6,6,6,6,0,0,6,6
ASISTENCIA SERVICIOS Y SUMINISTROS S.A.S,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ASK AUTOMOTIVE PVT. LTD,37,37,37,37,37,37,37,37,0,0,37,37,37,37,37,37,37,37,0,0,37,37
ASO NAL DE ESTA PRIV DE ASIST AL ANCIANO,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ASOBRANGUS COMERCIAL S.A,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10
"ASOCIACION AGROPECUARIA ""EL TRIUNFO""",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
ASOFARMA,2,2,2,2,2,2,2,2,0,0,2,0,2,2,2,2,2,2,0,0,2,2
ASOFARMADIS DISTRIBUIDORA FARMACEUTICACIA. LTDA.,6,6,6,6,6,6,6,6,0,0,6,0,6,6,6,6,6,6,0,0,6,6
ASUS GLOBAL PTE LTD,330,330,330,330,330,330,330,330,0,0,330,330,330,330,330,330,330,330,0,0,330,330
ASUS TECHNOLOGY PTE. LIMITED,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,0,0,8,8
ATC COLOMBIA SAS,85,85,85,85,85,85,85,85,0,0,85,85,85,85,85,85,85,85,0,0,85,85
ATW INTERNACIONAL SAS,15,15,15,15,15,15,15,15,0,0,2,13,15,15,15,15,15,15,0,0,15,15
AURA VICTORIA PAREDES RANGEL,29,29,29,29,29,29,29,29,0,0,29,29,29,29,29,29,29,29,0,0,29,29
AURORA BOREAL SAS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
AUSBERTO BARRETO,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
AUT. NAC. DE ACUICULTURA Y PESCA AUNAP,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
AUTO CARPET S.A.S.,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,0,0,9,9
AUTO ELITE ACCESORIOS S.A.S.,7,7,7,7,7,7,7,7,0,0,7,7,7,7,7,7,7,7,0,0,7,7
AUTO STOK SAS,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
AUTOFIX S.A.S,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
AUTOFORRO JAGUAR S.A.S.,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,0,0,5,5
AUTOMOTORES HYUNDAI DEL PACIFICO S.A,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,0,0,3,3
AUTOMOTOS DE COLOMBIA INTERNACIONAL SAS,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,2
AUTOMUNDIAL S.A.,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
AUTOPARTES D G S.A.S.,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,0,0,8,8
